Product ,Flow,State,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
316--Leather & Allied Products,Exports,Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
327--Nonmetallic Mineral Products,Exports,Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
332--Fabricated Metal Products,Exports,Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"333--Machinery, Except Electrical",Exports,Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
326--Plastics & Rubber Products,Exports,Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
334--Computer & Electronic Products,Exports,Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339--Miscellaneous Manufactures,Exports,Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
321--Wood Products,Exports,Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
323--Printed Matter & Related Products,Exports,Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
990--Other Special Classification Provisions,Exports,Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
322--Paper,Exports,Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
920--Used Or Second-Hand Merchandise,Exports,Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
910--Waste And Scrap,Exports,Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331--Primary Metal Manufactures,Exports,Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325--Chemicals,Exports,Hawaii,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
324--Petroleum & Coal Products,Exports,Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315--Apparel & Accessories,Exports,Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312--Beverages & Tobacco Products,Exports,Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311--Processed Foods,Exports,Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212--Minerals & Ores,Exports,Hawaii,0.0,0.0,0.5,1.0,0.6666666666666667,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114--Fish & Other Marine Products,Exports,Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111--Agricultural Products,Exports,Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--All Merchandise,Imports,Idaho,186.0,165.0,247.0,181.0,74.0,98.0,138.0,115.0,184.0,221.0,225.0,150.0,132.0,165.0,169.0,200.0
311--Processed Foods,Imports,Idaho,26.0,11.0,1.0,2.0,3.0,2.0,12.0,21.0,57.0,71.0,81.0,55.0,37.0,60.0,53.0,59.0
336--Transportation Equipment,Imports,Idaho,9.0,11.0,16.0,27.0,26.0,53.0,65.0,35.0,56.0,54.0,45.0,34.0,36.0,48.0,57.0,56.0
111--Agricultural Products,Imports,Idaho,1.0,1.0,1.0,7.0,6.0,11.0,24.0,27.0,31.0,22.0,22.0,14.0,14.0,11.0,14.0,21.0
"333--Machinery, Except Electrical",Imports,Idaho,1.0,1.0,3.0,5.0,5.0,5.0,5.0,6.0,3.0,5.0,7.0,4.0,5.0,6.0,14.0,17.0
315--Apparel & Accessories,Imports,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
326--Plastics & Rubber Products,Imports,Idaho,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,7.0,8.0,5.0,6.0
"335--Electrical Equipment, Appliances & Components",Imports,Idaho,4.0,2.0,9.0,9.0,7.0,9.0,9.0,10.0,11.0,11.0,13.0,8.0,10.0,10.0,6.0,5.0
322--Paper,Imports,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0
331--Primary Metal Manufactures,Imports,Idaho,105.0,73.0,91.0,87.0,13.0,0.0,0.0,0.0,0.0,19.0,7.0,1.0,4.0,3.0,5.0,3.0
334--Computer & Electronic Products,Imports,Idaho,1.0,5.0,5.0,0.0,0.0,2.0,5.0,4.0,6.0,21.0,31.0,18.0,5.0,6.0,3.0,3.0
321--Wood Products,Imports,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,5.0,2.0,2.0
332--Fabricated Metal Products,Imports,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,5.0,3.0,1.0,2.0,1.0,2.0
312--Beverages & Tobacco Products,Imports,Idaho,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
113--Forestry Products,Imports,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
325--Chemicals,Imports,Idaho,3.0,4.0,6.0,6.0,6.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0
980--Goods Returned (Exports and Imports) and Reimports - Canada Only,Imports,Idaho,1.0,3.0,2.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0
327--Nonmetallic Mineral Products,Imports,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
930--Used Or Second-Hand Merchandise,Imports,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
337--Furniture & Fixtures,Imports,Idaho,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0
314--Textile Mill Products,Imports,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313--Textiles & Fabrics,Imports,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316--Leather & Allied Products,Imports,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339--Miscellaneous Manufactures,Imports,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
990--Other Special Classification Provisions,Imports,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
910--Waste And Scrap,Imports,Idaho,1.0,0.0,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.8333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
323--Printed Matter & Related Products,Imports,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212--Minerals & Ores,Imports,Idaho,30.0,51.0,109.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114--Fish & Other Marine Products,Imports,Idaho,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,0.8,1.0,5.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0
112--Livestock & Livestock Products,Imports,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--All Merchandise,Exports,Idaho,187.0,186.0,210.0,257.0,273.0,301.0,264.0,236.0,231.0,228.0,258.0,225.0,234.0,203.0,284.0,305.0
311--Processed Foods,Exports,Idaho,101.0,87.0,86.0,104.0,141.0,155.0,153.0,145.0,129.0,126.0,155.0,124.0,142.0,117.0,199.0,196.0
111--Agricultural Products,Exports,Idaho,26.0,30.0,46.0,55.0,31.0,34.0,35.0,32.0,41.0,50.0,63.0,78.0,66.0,50.0,47.0,65.0
324--Petroleum & Coal Products,Exports,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
325--Chemicals,Exports,Idaho,14.0,11.0,9.0,9.0,7.0,7.0,9.0,9.0,9.0,10.0,12.0,8.0,9.0,12.0,13.0,11.0
"333--Machinery, Except Electrical",Exports,Idaho,3.0,4.0,6.0,12.0,7.0,9.0,4.0,5.0,6.0,8.0,8.0,5.0,5.0,3.0,5.0,5.0
321--Wood Products,Exports,Idaho,6.0,6.0,10.0,8.0,8.0,7.0,6.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,4.0,3.0
322--Paper,Exports,Idaho,14.0,13.0,15.0,15.0,17.0,15.0,13.0,13.0,16.0,8.0,1.0,1.0,2.0,2.0,3.0,2.0
334--Computer & Electronic Products,Exports,Idaho,18.0,25.0,26.0,37.0,39.0,59.0,28.0,20.0,14.0,11.0,8.0,1.0,2.0,4.0,5.0,2.0
336--Transportation Equipment,Exports,Idaho,1.0,3.0,4.0,6.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,4.0,2.0,2.0
"335--Electrical Equipment, Appliances & Components",Exports,Idaho,1.0,2.0,1.0,4.0,5.0,3.0,3.0,4.0,6.0,5.0,2.0,3.0,3.0,2.0,2.0,1.0
326--Plastics & Rubber Products,Exports,Idaho,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0
332--Fabricated Metal Products,Exports,Idaho,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0
339--Miscellaneous Manufactures,Exports,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
930--Used Or Second-Hand Merchandise,Exports,Idaho,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
323--Printed Matter & Related Products,Exports,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212--Minerals & Ores,Exports,Idaho,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
337--Furniture & Fixtures,Exports,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315--Apparel & Accessories,Exports,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316--Leather & Allied Products,Exports,Idaho,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313--Textiles & Fabrics,Exports,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
990--Other Special Classification Provisions,Exports,Idaho,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
327--Nonmetallic Mineral Products,Exports,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112--Livestock & Livestock Products,Exports,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312--Beverages & Tobacco Products,Exports,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331--Primary Metal Manufactures,Exports,Idaho,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
314--Textile Mill Products,Exports,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
920--Used Or Second-Hand Merchandise,Exports,Idaho,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
910--Waste And Scrap,Exports,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211--Oil & Gas,Exports,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.75,1.0,0.0,0.0,0.0,0.0,0.0
114--Fish & Other Marine Products,Exports,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113--Forestry Products,Exports,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--All Merchandise,Imports,Illinois,6155.0,8553.0,8517.0,9030.0,11675.0,13442.0,13233.0,11693.0,12320.0,12719.0,12718.0,12499.0,15293.0,18219.0,18257.0,19335.0
312--Beverages & Tobacco Products,Imports,Illinois,1164.0,1312.0,1395.0,1510.0,1567.0,2034.0,2222.0,2459.0,2927.0,3287.0,3673.0,4325.0,5058.0,5901.0,5935.0,6626.0
336--Transportation Equipment,Imports,Illinois,1119.0,1537.0,1345.0,1604.0,2034.0,2996.0,2397.0,1621.0,1653.0,1711.0,1422.0,1381.0,1532.0,2085.0,2070.0,2343.0
"335--Electrical Equipment, Appliances & Components",Imports,Illinois,524.0,707.0,946.0,1210.0,1706.0,1654.0,1687.0,1496.0,1467.0,1720.0,1906.0,1402.0,1572.0,1803.0,1941.0,1915.0
"333--Machinery, Except Electrical",Imports,Illinois,630.0,1039.0,1204.0,1156.0,1168.0,1264.0,1133.0,945.0,1056.0,822.0,866.0,953.0,1534.0,2085.0,1728.0,1734.0
334--Computer & Electronic Products,Imports,Illinois,812.0,778.0,699.0,591.0,1582.0,1823.0,2613.0,2482.0,2272.0,1873.0,1635.0,1353.0,1126.0,1035.0,1295.0,1382.0
331--Primary Metal Manufactures,Imports,Illinois,77.0,113.0,136.0,103.0,83.0,404.0,267.0,128.0,142.0,94.0,147.0,388.0,1171.0,1395.0,1285.0,966.0
325--Chemicals,Imports,Illinois,150.0,156.0,229.0,292.0,646.0,689.0,597.0,646.0,720.0,820.0,717.0,633.0,767.0,921.0,847.0,908.0
311--Processed Foods,Imports,Illinois,208.0,240.0,317.0,311.0,528.0,558.0,604.0,521.0,460.0,534.0,606.0,561.0,666.0,764.0,746.0,906.0
326--Plastics & Rubber Products,Imports,Illinois,80.0,147.0,134.0,152.0,192.0,187.0,198.0,190.0,217.0,297.0,350.0,363.0,546.0,658.0,654.0,719.0
332--Fabricated Metal Products,Imports,Illinois,175.0,219.0,268.0,343.0,457.0,553.0,463.0,343.0,318.0,363.0,382.0,332.0,374.0,530.0,623.0,572.0
980--Goods Returned (Exports and Imports) and Reimports - Canada Only,Imports,Illinois,243.0,160.0,134.0,141.0,151.0,171.0,283.0,134.0,139.0,130.0,139.0,154.0,160.0,233.0,265.0,281.0
111--Agricultural Products,Imports,Illinois,76.0,56.0,60.0,54.0,69.0,66.0,86.0,98.0,138.0,127.0,129.0,126.0,152.0,134.0,153.0,228.0
337--Furniture & Fixtures,Imports,Illinois,25.0,39.0,19.0,29.0,28.0,33.0,40.0,46.0,58.0,60.0,76.0,74.0,124.0,186.0,163.0,168.0
322--Paper,Imports,Illinois,47.0,63.0,62.0,68.0,80.0,114.0,177.0,204.0,215.0,274.0,176.0,81.0,87.0,94.0,89.0,122.0
339--Miscellaneous Manufactures,Imports,Illinois,234.0,351.0,328.0,81.0,80.0,114.0,99.0,97.0,65.0,71.0,60.0,110.0,132.0,85.0,92.0,117.0
327--Nonmetallic Mineral Products,Imports,Illinois,37.0,83.0,114.0,110.0,42.0,81.0,29.0,46.0,64.0,87.0,69.0,121.0,126.0,115.0,93.0,89.0
316--Leather & Allied Products,Imports,Illinois,24.0,38.0,17.0,10.0,16.0,18.0,14.0,12.0,7.0,8.0,37.0,13.0,21.0,13.0,53.0,57.0
910--Waste And Scrap,Imports,Illinois,24.0,31.0,32.0,20.0,21.0,20.0,11.0,11.0,12.0,26.0,17.0,28.0,37.0,48.0,41.0,42.0
990--Other Special Classification Provisions,Imports,Illinois,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,26.0,30.0
314--Textile Mill Products,Imports,Illinois,19.0,26.0,32.0,19.0,20.0,32.0,37.0,26.0,30.0,30.0,28.0,35.0,28.0,31.0,29.0,29.0
324--Petroleum & Coal Products,Imports,Illinois,9.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0,20.0,28.0
313--Textiles & Fabrics,Imports,Illinois,10.0,15.0,14.0,15.0,18.0,12.0,12.0,12.0,12.0,14.0,15.0,16.0,26.0,29.0,16.0,22.0
321--Wood Products,Imports,Illinois,1.0,1.0,1.0,1.0,1.0,9.0,10.0,9.0,7.0,7.0,7.0,6.0,12.0,14.0,12.0,17.0
315--Apparel & Accessories,Imports,Illinois,36.0,36.0,47.0,44.0,55.0,57.0,48.0,41.0,55.0,30.0,31.0,22.0,22.0,15.0,18.0,15.0
323--Printed Matter & Related Products,Imports,Illinois,14.0,25.0,23.0,49.0,57.0,54.0,34.0,13.0,3.0,12.0,12.0,11.0,6.0,12.0,10.0,8.0
930--Used Or Second-Hand Merchandise,Imports,Illinois,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,6.0,4.0,2.0,6.0
212--Minerals & Ores,Imports,Illinois,5.0,3.0,2.0,7.0,6.0,14.0,9.0,9.0,4.0,4.0,1.0,2.0,3.0,1.0,3.0,5.0
114--Fish & Other Marine Products,Imports,Illinois,4.0,5.0,6.0,4.0,3.0,5.0,6.0,2.0,4.0,4.0,6.0,3.0,6.0,1.0,1.0,0.0
113--Forestry Products,Imports,Illinois,1.0,1.0,4.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
112--Livestock & Livestock Products,Imports,Illinois,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
920--Used Or Second-Hand Merchandise,Imports,Illinois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
511--Newspapers & Other Published Matter,Imports,Illinois,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
211--Oil & Gas,Imports,Illinois,408.0,1369.0,945.0,1101.0,1061.0,476.0,152.0,101.0,272.0,310.0,209.0,168.75,128.5,88.25,48.0,48.0
0--All Merchandise,Exports,Illinois,3550.0,4267.0,5726.0,6376.0,7374.0,8011.0,9111.0,9501.0,9874.0,10189.0,9305.0,7076.0,8950.0,11543.0,12917.0,12999.0
325--Chemicals,Exports,Illinois,499.0,528.0,706.0,762.0,744.0,833.0,1003.0,1035.0,1059.0,1054.0,922.0,938.0,1361.0,1601.0,1578.0,1577.0
111--Agricultural Products,Exports,Illinois,171.0,125.0,306.0,292.0,427.0,507.0,443.0,286.0,197.0,549.0,779.0,331.0,813.0,1601.0,2090.0,1557.0
336--Transportation Equipment,Exports,Illinois,374.0,521.0,957.0,947.0,1024.0,1087.0,1523.0,1736.0,1652.0,1701.0,1554.0,851.0,915.0,1233.0,1367.0,1302.0
334--Computer & Electronic Products,Exports,Illinois,318.0,333.0,510.0,515.0,757.0,978.0,1317.0,1313.0,1423.0,1253.0,1050.0,946.0,772.0,912.0,1280.0,1245.0
"333--Machinery, Except Electrical",Exports,Illinois,684.0,944.0,1119.0,1150.0,1327.0,1085.0,1032.0,1093.0,1213.0,1136.0,978.0,854.0,1011.0,1020.0,1164.0,1163.0
339--Miscellaneous Manufactures,Exports,Illinois,65.0,81.0,83.0,90.0,110.0,122.0,203.0,335.0,305.0,258.0,259.0,240.0,479.0,696.0,798.0,1038.0
311--Processed Foods,Exports,Illinois,359.0,315.0,301.0,428.0,522.0,497.0,462.0,528.0,518.0,587.0,508.0,485.0,565.0,795.0,841.0,1004.0
"335--Electrical Equipment, Appliances & Components",Exports,Illinois,252.0,351.0,447.0,644.0,780.0,830.0,896.0,932.0,1052.0,1059.0,815.0,531.0,541.0,565.0,801.0,929.0
332--Fabricated Metal Products,Exports,Illinois,208.0,258.0,310.0,379.0,440.0,566.0,663.0,673.0,706.0,824.0,727.0,497.0,632.0,815.0,893.0,843.0
331--Primary Metal Manufactures,Exports,Illinois,140.0,201.0,260.0,406.0,509.0,565.0,480.0,398.0,446.0,479.0,572.0,431.0,692.0,962.0,722.0,749.0
326--Plastics & Rubber Products,Exports,Illinois,171.0,193.0,232.0,264.0,244.0,308.0,402.0,494.0,548.0,578.0,540.0,506.0,542.0,589.0,615.0,694.0
322--Paper,Exports,Illinois,134.0,172.0,188.0,197.0,158.0,216.0,238.0,197.0,210.0,198.0,179.0,150.0,185.0,240.0,234.0,314.0
327--Nonmetallic Mineral Products,Exports,Illinois,54.0,75.0,103.0,112.0,124.0,140.0,180.0,186.0,174.0,156.0,131.0,85.0,97.0,122.0,152.0,128.0
324--Petroleum & Coal Products,Exports,Illinois,9.0,18.0,26.0,27.0,28.0,38.0,56.0,44.0,62.0,49.0,51.0,36.0,48.0,70.0,69.0,69.0
910--Waste And Scrap,Exports,Illinois,13.0,41.0,37.0,23.0,19.0,25.0,29.0,35.0,38.0,35.0,28.0,31.0,61.0,73.0,48.0,61.0
930--Used Or Second-Hand Merchandise,Exports,Illinois,0.0,0.0,0.0,7.0,13.0,18.0,9.0,15.0,47.0,51.0,10.0,12.0,13.0,28.0,54.0,53.0
315--Apparel & Accessories,Exports,Illinois,2.0,4.0,5.0,3.0,4.0,5.0,5.0,8.0,7.0,8.0,5.0,6.0,10.0,15.0,19.0,45.0
212--Minerals & Ores,Exports,Illinois,4.0,8.0,14.0,11.0,13.0,14.0,8.0,12.0,25.0,26.0,19.0,13.0,14.0,20.0,17.0,44.0
313--Textiles & Fabrics,Exports,Illinois,15.0,17.0,19.0,22.0,18.0,31.0,36.0,45.0,43.0,29.0,31.0,26.0,62.0,38.0,37.0,41.0
312--Beverages & Tobacco Products,Exports,Illinois,7.0,8.0,11.0,13.0,9.0,9.0,11.0,8.0,36.0,65.0,54.0,20.0,33.0,50.0,47.0,37.0
323--Printed Matter & Related Products,Exports,Illinois,37.0,30.0,32.0,31.0,34.0,37.0,37.0,23.0,26.0,22.0,27.0,24.0,28.0,23.0,27.0,34.0
314--Textile Mill Products,Exports,Illinois,11.0,12.0,14.0,17.0,17.0,19.0,25.0,50.0,44.0,23.0,21.0,24.0,33.0,14.0,23.0,30.0
337--Furniture & Fixtures,Exports,Illinois,7.0,10.0,9.0,12.0,21.0,16.0,20.0,23.0,15.0,16.0,13.0,12.0,12.0,14.0,15.0,18.0
990--Other Special Classification Provisions,Exports,Illinois,3.0,7.0,25.0,12.0,25.0,46.0,17.0,8.0,8.0,14.0,10.0,2.0,5.0,6.0,7.0,9.0
321--Wood Products,Exports,Illinois,2.0,3.0,4.0,5.0,4.0,4.0,4.0,6.0,5.0,5.0,6.0,7.0,9.0,15.0,6.0,8.0
316--Leather & Allied Products,Exports,Illinois,1.0,3.0,1.0,4.0,3.0,6.0,6.0,7.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,5.0
113--Forestry Products,Exports,Illinois,0.0,0.0,0.0,0.0,0.0,7.0,6.0,5.0,7.0,9.0,8.0,7.0,10.0,17.0,5.0,2.0
112--Livestock & Livestock Products,Exports,Illinois,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0
114--Fish & Other Marine Products,Exports,Illinois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0
211--Oil & Gas,Exports,Illinois,0.0,0.0,0.0,0.0,0.0,0.0,2.5,5.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0
920--Used Or Second-Hand Merchandise,Exports,Illinois,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
511--Newspapers & Other Published Matter,Exports,Illinois,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--All Merchandise,Imports,Indiana,2490.0,3169.0,3639.0,3567.0,3967.0,5140.0,5268.0,4484.0,4774.0,4491.0,5129.0,4542.0,5007.0,5286.0,5953.0,6131.0
336--Transportation Equipment,Imports,Indiana,886.0,1112.0,1117.0,1103.0,1164.0,1660.0,1847.0,943.0,1029.0,1133.0,1427.0,1195.0,1617.0,1704.0,1817.0,1841.0
"335--Electrical Equipment, Appliances & Components",Imports,Indiana,315.0,464.0,405.0,398.0,433.0,443.0,463.0,593.0,720.0,795.0,845.0,699.0,660.0,818.0,879.0,1006.0
332--Fabricated Metal Products,Imports,Indiana,45.0,69.0,119.0,256.0,411.0,502.0,621.0,599.0,632.0,676.0,723.0,685.0,709.0,788.0,920.0,904.0
334--Computer & Electronic Products,Imports,Indiana,755.0,732.0,710.0,665.0,833.0,975.0,955.0,1145.0,1115.0,520.0,614.0,538.0,321.0,283.0,489.0,416.0
339--Miscellaneous Manufactures,Imports,Indiana,42.0,47.0,68.0,105.0,120.0,121.0,146.0,211.0,265.0,225.0,202.0,199.0,215.0,242.0,343.0,398.0
"333--Machinery, Except Electrical",Imports,Indiana,182.0,322.0,622.0,458.0,357.0,401.0,439.0,349.0,410.0,446.0,507.0,534.0,542.0,541.0,383.0,374.0
312--Beverages & Tobacco Products,Imports,Indiana,10.0,33.0,37.0,47.0,111.0,286.0,224.0,96.0,40.0,18.0,27.0,50.0,75.0,82.0,263.0,292.0
